dates,0.1BTC,1BTC,10BTC,100BTC,1000BTC,10000BTC,prices
2019-01-08,99.87211114999998,940.05192776,883.78268218,231.51593021000008,2267.0880290899995,0.0,4029.9917
2019-01-09,114.80624299000006,967.7791579500004,803.5029659100004,1289.3545178000002,35.87517454,0.0,4028.2917
2019-01-10,108.0312930800001,1121.6292106200003,1035.6563452200003,1064.1061561099998,286.98084996999995,5.47e-06,3669.5825
2019-01-11,110.22570515000001,860.00018894,1052.0187299299996,339.0791206200001,65.10404074000002,0.0,3660.9583
2019-01-12,87.74463914000003,693.37060873,775.4660037299999,1045.2589613,26.29467034,0.0,3658.6725
2019-01-13,122.23108468000001,753.43892117,646.0393121900001,370.2974322399999,21.499595639999992,0.0,3540.1583
2019-01-14,184.7085571199999,1015.3820850199993,810.1629205400001,9624.888334289999,2456.75025114,1785.15884882,3706.1725
2019-01-15,172.94851401,915.17077904,1216.3516241000002,44630.42341733,26911.94249663,6.4e-05,3604.1333
2019-01-16,162.80274725999996,922.7178360900003,1107.6412094,12080.173396240005,1083.1674368599993,0.0003674,3630.2567
2019-01-17,149.54425373999996,859.0183221700001,1169.0069421100004,1867.5250614300003,6525.057235199998,0.0,3665.41
2019-01-18,138.59977329000003,860.0398251400002,1603.1921378500008,371.25115030000006,21.596808479999996,0.0,3630.785
2019-01-19,110.80459268999996,745.46305786,1394.269911930001,370.7773408100001,777.0468495599998,0.0,3708.9633
2019-01-20,116.88466986000005,838.0315078900003,919.3119171900006,1117.9473092400003,24.58599187000001,0.0,3552.8933
2019-01-21,154.28713659000005,895.4346343200006,605.2302740300003,938.4505551700004,10343.684959640002,10001.740991859999,3548.69
2019-01-22,137.02461073000006,780.5728524299996,712.4613118499999,349.84799257,194.43738254000002,0.0,3598.2183
2019-01-23,128.74731139000002,873.4131508800002,834.25430888,380.63801108,27.718762330000004,5.46e-06,3576.01
2019-01-24,142.42078657000002,764.67126766,743.8115231,205.75024782999998,771.5610732099999,0.0,3598.2717
2019-01-25,118.26918229999998,713.0101717699998,3228.7519125599997,716.59858017,3173.745843669998,1012.68461166,3582.2
2019-01-26,104.59877141000007,620.2323018500001,1096.4079530000006,88.45742421000001,13.771954460000003,0.0,3580.775
2019-01-27,100.39461290000001,829.27724034,484.93919781999995,248.70361393,4.6561739499999995,0.0,3553.0133
2019-01-28,139.07418635999997,928.77454366,1003.3663811200003,429.75037003000006,8.517976249999997,885.6938619099999,3454.48
2019-01-29,137.02505634999991,1065.76760972,783.5495853499999,1431.2928026200002,5.399713169999998,0.0,3421.12
2019-01-30,141.79553605999996,923.3932407299999,1041.8354691200002,683.53421415,6.985089939999999,0.0,3482.3
2019-01-31,136.64489294,874.9826135599999,1141.6401372899998,781.3991442700001,41.84378429000001,0.0,3441.985
2019-02-01,119.65028697999998,899.3369491499998,1061.6683950200004,963.88112301,244.47361146,9577.24166989,3468.2517
2019-02-02,97.30812630000001,677.5983380499999,299.51957757,342.87662328,5.124634839999997,6.06e-05,3466.2175
2019-02-03,89.06943293000002,775.8218890699999,760.0346418900003,115.62360364999999,7.0630785,0.000335,3443.1667
2019-02-04,99.77162355000004,884.5071725500001,542.2505925799999,2824.48716279,35.491591040000024,0.0,3451.115
2019-02-05,148.80461751999988,909.5898879000001,1222.80527634,1454.8066332299998,5.74584584,142.84742058,3472.035
2019-02-06,219.17207189999982,1057.5267026000004,933.37579266,1428.9733063599995,1871.17149396,99.9995,3393.6717
2019-02-07,216.74411647000002,1309.2848702100007,1031.9852780499998,851.4418990900001,9.277817579999997,507.10092174,3385.97
2019-02-08,233.85444310999986,1012.5962328699995,619.3528578899997,324.89449570000016,2135.5655842500005,855.25451131,3657.4017
2019-02-09,252.77224425999995,974.9724922600004,998.9019212200001,98.40706656,137.58146864000003,1.92e-05,3654.3
2019-02-10,212.34836631999994,714.7158514099999,1204.18107686,1040.11125923,25.464106119999997,0.0,3681.0517
2019-02-11,191.3579365100001,780.1387685899999,1749.02679348,1170.10167978,79.75905326000006,99.9995,3621.0283
2019-02-12,156.1459194,908.7533860599999,1695.0002796399992,2148.11597128,31.78621658,1107.55222833,3622.7133
2019-02-13,127.08893794000001,932.97046389,1025.2241115000002,2014.079722,110.12191698000001,792.6268029299999,3605.3133
2019-02-14,101.08297228000008,774.7868606800004,1346.3408702700008,1592.2183024799997,355.6283898900001,4984.6204904,3592.91
2019-02-15,93.44532255000001,843.8510671999996,790.7939769200001,1437.5207827800002,6.75874005,811.26912202,3601.0583
2019-02-16,93.3333098,887.3171084999999,552.2481909700001,714.54890107,17097.495998879996,0.0,3611.975
2019-02-17,88.56366397999999,748.4537525499996,813.6481194800001,434.28878595000003,2845.2393575100004,5.52e-06,3661.7417
2019-02-18,119.66466129999998,1032.4180213500001,869.7623375900005,186.84207390000006,488.0151018600001,0.0,3905.7433
2019-02-19,122.05750507999994,1116.1972509700006,1198.6613667299998,719.9791050200001,451.96500735999984,3283.33074537,3922.0983
2019-02-20,113.62238324,1053.2270229399999,1197.3804542300006,5504.2689177899965,4042.1585835299998,0.0,3976.79
2019-02-21,108.64053607000001,993.5412318499999,1052.1720142899999,15944.397911690001,3856.8966350699993,2984.6688853099995,3936.34
2019-02-22,120.55204187,1247.8289689900014,851.0111436399995,2334.27311328,306.2688778700002,0.0,3979.995
2019-02-23,112.09127055,875.3004870899997,568.8020871999997,135.70541487999998,250.14482536000006,0.0,4145.4383
2019-02-24,109.10742444000003,895.8471607599996,591.0152464000001,1044.3948699100004,139.2996051,2258.19199564,3767.305
