,5m-7.5m,7.5m-10m,10m-20m,20m+,prices
2020-09-02 05:00:00,3.0,0.0,0.0,7.0,11867.86
2020-09-02 06:00:00,1.0,0.0,0.0,4.0,11796.14
2020-09-02 07:00:00,3.0,0.0,1.0,2.0,11727.08
2020-09-02 08:00:00,5.0,1.0,0.0,6.0,11719.93
2020-09-02 09:00:00,3.0,1.0,1.0,3.0,11743.84
2020-09-02 10:00:00,0.0,0.0,0.0,2.0,11576.81
2020-09-02 11:00:00,3.0,3.0,1.0,6.0,11410.39
2020-09-02 12:00:00,2.0,1.0,2.0,1.0,11434.51
2020-09-02 13:00:00,3.0,0.0,5.0,5.0,11346.04
2020-09-02 14:00:00,1.0,0.0,0.0,4.0,11247.03
2020-09-02 15:00:00,3.0,1.0,2.0,5.0,11341.61
2020-09-02 16:00:00,8.0,0.0,5.0,7.0,11311.65
2020-09-02 17:00:00,1.0,0.0,2.0,1.0,11364.64
2020-09-02 18:00:00,12.0,1.0,3.0,8.0,11407.38
2020-09-02 19:00:00,6.0,1.0,4.0,10.0,11401.43
2020-09-02 20:00:00,3.0,0.0,1.0,8.0,11374.0
2020-09-02 21:00:00,16.0,12.0,2.0,7.0,11389.42
2020-09-02 22:00:00,1.0,2.0,2.0,4.0,11439.05
2020-09-02 23:00:00,1.0,0.0,2.0,9.0,11395.48
2020-09-03 00:00:00,1.0,0.0,0.0,9.0,11419.87
2020-09-03 01:00:00,2.0,2.0,3.0,3.0,11438.18
2020-09-03 02:00:00,1.0,0.0,0.0,1.0,11433.66
2020-09-03 03:00:00,4.0,1.0,1.0,8.0,11368.53
2020-09-03 04:00:00,3.0,1.0,2.0,11.0,11292.89
2020-09-03 05:00:00,4.0,2.0,1.0,6.0,11296.21
2020-09-03 06:00:00,0.0,1.0,2.0,7.0,11289.69
2020-09-03 07:00:00,2.0,0.0,4.0,5.0,11411.51
2020-09-03 08:00:00,3.0,2.0,4.0,4.0,11398.13
2020-09-03 09:00:00,2.0,4.0,0.0,3.0,11356.93
2020-09-03 10:00:00,3.0,4.0,4.0,4.0,11273.5
2020-09-03 11:00:00,3.0,1.0,1.0,5.0,11218.76
2020-09-03 12:00:00,7.0,0.0,2.0,5.0,10812.98
2020-09-03 13:00:00,5.0,2.0,8.0,9.0,10927.2
