,Profits(1h),Losses(1h),Profits(>200D),Losses(>200D),Profits(<200D),Losses(<200D),prices
2016-09-12,4218758.416997930,1117016.2251342500,1358973.7594958900,54434.4481022486,2859784.6575020000,1062581.7770320000,606.3075
2016-09-13,4360224.337056610,1087313.6948826800,1462069.5695788800,52023.85241317210,2898154.767477690,1035289.8424695100,606.9213
2016-09-14,4130483.590785590,988805.3769945230,1410269.1990155300,43067.852511362100,2720214.3917700100,945737.524483157,608.22
2016-09-15,4175666.149054560,940969.4957014480,1400150.0895188500,43887.09918331570,2775516.0595356600,897082.3965181280,605.21
2016-09-16,4384776.239226090,912260.1394377430,1577205.8270815900,43702.1836432165,2807570.4121444600,868557.9557945220,606.3338
2016-09-17,4097484.610324420,907196.6088393110,1591709.863720060,44299.44796533030,2505774.746604320,862897.1608739770,605.2938
2016-09-18,3898686.9489713900,901928.0876514190,1564537.3569150400,36796.40153398630,2334149.5920563100,865131.6861174290,608.6988
2016-09-19,3794961.5730931100,900295.3755798480,1573209.0935187500,33325.41425170710,2221752.47957431,866969.9613281370,608.5275
2016-09-20,3971139.5466412500,1046781.54771687,1653353.0091222000,33113.27760404650,2317786.537519010,1013668.27011282,599.4738
2016-09-21,3771168.998408720,1135638.6655363300,1713851.3919554400,34994.80352495110,2057317.6064532300,1100643.8620113800,595.7988
2016-09-22,3336535.4536549100,1141237.8424191400,1632127.1880745300,31723.635570269800,1704408.2655803400,1109514.206848860,595.035
2016-09-23,3193278.588955330,1170787.667290120,1585440.3411379500,29436.292190420300,1607838.2478173400,1141351.3750997000,601.7138
2016-09-24,3083535.2289645500,1329691.859272950,1563253.1370209300,188079.23396103200,1520282.0919435700,1141612.6253119200,601.3413
2016-09-25,3234730.849272330,1230729.0934691700,1756244.8771579,186240.27359437100,1478485.9721143900,1044488.8198748000,599.1763
2016-09-26,3342976.7721810700,1124939.4537595,1759264.8223083600,186558.97468602700,1583711.9498726600,938380.479073469,606.8125
2016-09-27,3086746.4603280100,1096877.3164354900,1602919.3548587100,183444.41748468000,1483827.1054692600,913432.8989508030,604.7625
2016-09-28,2990324.483379250,1100051.6182008400,1538843.603523460,189583.57366781000,1451480.8798557400,910468.0445330310,603.5188
2016-09-29,2976987.3763965100,1078005.2005627300,1523518.6487549400,189263.16371540900,1453468.7276415300,888742.0368473140,605.0588
2016-09-30,2791423.6602646600,1113158.624169560,1317731.7706602100,192185.22657889700,1473691.8896044000,920973.3975906540,608.4375
2016-10-01,2845084.044479310,1093628.319110370,1296972.8430906300,189743.93577990700,1548111.201388640,903884.3833304600,613.9338
2016-10-02,2779221.8667560600,1105132.7183959400,1285239.7995230000,191056.85633442600,1493982.0672330200,914075.8620615120,610.2913
2016-10-03,3042516.2519409500,1066718.1711638000,1518972.4735651500,191870.727214959,1523543.7783757500,874847.4439488420,612.3375
2016-10-04,2883852.167376280,956622.8177416450,1592149.352320760,192232.01556948900,1291702.8150554700,764390.8021721520,609.375
2016-10-05,2932176.728951880,850786.1627941170,1558283.5065387300,190697.02238905300,1373893.2224131000,660089.1404050610,610.885
2016-10-06,3006490.204496290,769783.2199270500,1583344.211728720,191073.8964203190,1423145.9927675200,578709.3235067270,610.9
2016-10-07,3016141.599874070,710640.4278099410,1610182.0525214900,191088.56694509100,1405959.5473525300,519551.8608648460,616.4888
2016-10-08,3125793.436080500,549571.4188552630,1701415.9001266700,33663.85141507610,1424377.535953790,515907.56744018300,616.5963
2016-10-09,2860984.750382570,508968.16675713700,1420675.8623722800,32103.242672342200,1440308.8880102400,476864.9240847920,614.6238
2016-10-10,2779126.4428102800,511771.9188531400,1438373.1368206400,32182.37277492090,1340753.3059895900,479589.5460782150,617.4225
2016-10-11,3382149.200074140,467133.37323586700,1472856.6591445500,34046.78235441690,1909292.5409295400,433086.5908814460,639.3738
2016-10-12,4073644.926772620,463892.18945848600,1969716.563028150,28329.074793313900,2103928.363744430,435563.114665168,635.0813
2016-10-13,4201843.15659702,450505.4629887110,2024650.3486376200,30346.562040821800,2177192.807959350,420158.900947886,635.02
2016-10-14,4307226.550263430,396298.1584924520,2076083.3004893400,27300.334783887900,2231143.2497740500,368997.82370856100,638.3675
2016-10-15,4310679.631278530,409277.00044103100,2073652.705320990,34333.88191398930,2237026.925957490,374943.1185270380,637.3713
2016-10-16,4417430.1196424100,380069.3232797610,2107551.1732144,33134.898380296,2309878.946427960,346934.42489946200,639.8275
2016-10-17,4682343.365243880,396357.5202758310,2386993.541819850,31908.96340624180,2295349.823423990,364448.5568695860,636.92
2016-10-18,4772415.151752020,383608.3465576710,2413247.0696322100,31949.795711941300,2359168.082119760,351658.5508457260,635.5088
2016-10-19,4842248.787323260,483398.2826843300,2478270.650092780,31406.932541683900,2363978.1372304400,451991.350142642,628.1538
2016-10-20,4888882.158957650,541724.3161722020,2541209.324035470,31351.006786176500,2347672.834922130,510373.3093860220,628.6225
2016-10-21,5196685.499454870,547328.7059299450,2896398.2097243200,31211.600474643800,2300287.2897305000,516117.10545529700,630.1538
