Dates,Values,Prices
2010-10-09,1117.4499999999998,0.0938
2010-10-10,1166.01,0.0965
2010-10-11,1218.52,0.095
2010-10-12,1463.7,0.0949
2010-10-13,1416.86,0.105
2010-10-14,2056.0,0.102
2010-10-15,744.25,0.105
2010-10-16,1679.0,0.101
2010-10-17,1764.54,0.102
2010-10-18,2372.51,0.1024
2010-10-19,2156.0,0.097
2010-10-20,2195.98,0.099
2010-10-21,2286.5377661499997,0.107
2010-10-22,1371.5,0.1025
2010-10-23,1471.9099999999999,0.1055
2010-10-24,1258.52,0.115
2010-10-25,1868.69,0.132
2010-10-26,1917.6899999999998,0.1503
2010-10-27,4796.51,0.1877
2010-10-28,1850.6499999999999,0.1731
2010-10-29,1654.27,0.19
2010-10-30,1461.05,0.1989
2010-10-31,1709.6999999999998,0.1925
2010-11-01,1496.36,0.1955
2010-11-02,1400.7,0.1938
2010-11-03,1630.4999999999998,0.1931
2010-11-04,1551.7599999999998,0.23
2010-11-05,1252.0999999999997,0.26
2010-11-06,1087.6599999999999,0.39
2010-11-07,1006.6699999999996,0.34
2010-11-08,10393.279999999995,0.243
2010-11-09,2183.47,0.21
2010-11-10,1209.32,0.24
2010-11-11,1411.2399999999996,0.2231
2010-11-12,1005.6399999999996,0.2682
2010-11-13,1455.25,0.276
2010-11-14,1750.5599999999997,0.279
2010-11-15,1180.0199999999988,0.2682
2010-11-16,707.9,0.223
2010-11-17,901.6499999999997,0.2299
2010-11-18,1256.7399999999998,0.2678
2010-11-19,750.96,0.28
2010-11-20,505.26000000000005,0.283
2010-11-21,454.2100000000002,0.2768
2010-11-22,604.5899999999999,0.2879
2010-11-23,920.2599999999998,0.283
2010-11-24,1356.629999999999,0.283
2010-11-25,681.6399999999996,0.28
2010-11-26,1002.3899999999991,0.2844
2010-11-27,1003.4099999999995,0.283
2010-11-28,853.1099999999998,0.27
2010-11-29,1401.7499999999993,0.2299
2010-11-30,903.8699999999995,0.2082
2010-12-01,582.3500000000001,0.2275
2010-12-02,753.1700000000001,0.255
2010-12-03,1101.9499999999998,0.2511
2010-12-04,1009.8899999999993,0.205
2010-12-05,1255.439999999999,0.19
2010-12-06,872.6299999999994,0.204
2010-12-07,2903.960000000003,0.233
2010-12-08,1278.479999999999,0.2388
2010-12-09,861.2700010899999,0.2
2010-12-10,184.80000000000007,0.204
