,Volumes(1h),Volumes(>200D),Volumes(<200D),DollarVolumes(1h),DollarVolumes(>200D),DollarVolumes(<200D),prices
2019-04-14,349978.4224771099,41782.197599140025,308196.2248779697,1810246486.3050444,216116399.00140753,1594130087.303636,5172.4517
2019-04-15,474149.1457826603,7185.600061649998,466963.54572101036,2386437694.892979,36165807.7422903,2350271887.1506877,5033.095
2019-04-16,434777.8988208906,6556.242297980003,428221.656522911,2267171092.2964745,34187853.27493162,2232983239.0215425,5214.55
2019-04-17,516553.35135506984,9250.473724079997,507302.87763099,2705386191.3200183,48448246.073022105,2656937945.2469935,5237.38
2019-04-18,468214.32004934957,8328.769568329999,459885.5504810199,2477201776.765153,44065381.79088584,2433136394.974267,5290.7433
2019-04-19,580749.4100227999,13442.023821339988,567307.3862014599,3076558735.5814304,71210017.77653751,3005348717.8048925,5297.5667
2019-04-20,351942.4921804298,3852.2499879999996,348090.24219242996,1874775940.993382,20520698.002251737,1854255242.9911299,5326.9383
2019-04-21,266140.6987494399,6957.08797809,259183.61077134998,1412141669.3002224,36914285.853355214,1375227383.4468665,5305.9967
2019-04-22,412412.16399575025,17232.473530460004,395179.69046529016,2225614534.8755064,92996392.70980489,2132618142.1657016,5396.5783
2019-04-23,508948.4839991704,5549.872492710002,503398.6115064601,2819631450.9010677,30746913.530370843,2788884537.3706937,5540.1117
2019-04-24,619954.49277368,63319.41179236002,556635.08098132,3381509729.186762,345372458.0078379,3036137271.1789227,5454.4483
2019-04-25,507533.74014441017,7338.592087530002,500195.14805687976,2619198920.738849,37871831.870590806,2581327088.8682575,5160.64
2019-04-26,538943.1279436008,30992.695401150006,507950.4325424504,2824614407.1306086,162433491.41481218,2662180915.7157984,5241.025
2019-04-27,308867.14326440013,5985.935171690002,302881.20809271024,1620700028.8226912,31409638.470298648,1589290390.3523932,5247.24
2019-04-28,303903.9519102803,4466.48558883,299437.4663214501,1600463574.2596629,23522061.64133243,1576941512.6183302,5266.3467
2019-04-29,416525.0477682599,22052.69031159,394472.35745667,2190766262.4607153,115988918.76967008,2074777343.6910462,5259.6267
2019-04-30,506388.2647716105,3297.337906040001,503090.9268655703,2723669187.805829,17735122.002710428,2705934065.8031187,5378.6183
2019-05-01,406895.5285736704,56297.924754060004,350597.60381961014,2206863002.5038733,305340802.5716048,1901522199.932266,5423.66
2019-05-02,403248.1825899704,9238.873825369994,394009.30876460014,2219196408.7692924,50844310.02924419,2168352098.740048,5503.3017
2019-05-03,439028.7358349702,6875.058577969996,432153.67725700024,2535778041.0833373,39709525.02692491,2496068516.056413,5775.8817
2019-05-04,264937.0405061601,3134.3600997500025,261802.68040640996,1556772699.3846023,18417531.289731998,1538355168.0948691,5876.01
2019-05-05,282524.7536057001,4349.4146965300015,278175.3389091702,1645366247.4251094,25330099.56257795,1620036147.8625307,5823.795
2019-05-06,514690.42644690064,7228.4024684800015,507462.02397842065,2985007192.551566,41921963.670517854,2943085228.881047,5799.6167
2019-05-07,571516.5941877998,20212.38955651,551304.20463129,3349996924.903477,118476774.86160569,3231520150.041872,5861.5917
2019-05-08,456577.73482897045,7875.220597950001,448702.51423102035,2752743689.5026493,47480335.00268838,2705263354.4999604,6029.08
2019-05-09,509375.3963843503,19202.22423302,490173.1721513302,3151648202.5409613,118809537.95248002,3032838664.588482,6187.28
2019-05-10,493454.41659863066,45890.413031529984,447564.0035671005,3146049079.162073,292577159.72100353,2853471919.44107,6375.5617
2019-05-11,489308.2516451435,13247.788456529996,476060.46318861336,3515503637.0997653,95180590.85632366,3420323046.2434373,7184.64
2019-05-12,388723.62149635016,11229.439733879997,377494.18176247005,2712953349.3239803,78371738.81996147,2634581610.504018,6979.1317
2019-05-13,489420.4726334404,24097.937895720013,465322.5347377203,3818114318.067699,187995163.38268542,3630119154.685013,7801.2967
